Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM28,Consumo_P_SIM28_kWh,Consumo_Q_SIM28_kVArh,DemandaMax_P_SIM28_kW,DemandaMax_Q_SIM28_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1445570.3965,158340.14315,4029.46,591.143,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,-1.856131649999999,16273.269425,0.2076489999999999,471.583,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1498837.3025,165275.760825,4039.31,625.196,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,-3.057750124999999,17459.737475,0.19957,520.4590000000001,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1608362.047,166160.2453,4039.27,563.316,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,-2.9847770999999987,17727.1523,0.2386339999999999,448.278,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1232456.71675,106994.510175,3539.29,334.188,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,-1.4968696749999997,12071.911825,0.2057319999999999,366.015,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1285082.615,96139.773025,3534.49,376.339,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,-2.6722854499999986,12068.6401,0.219774,271.9638,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1444134.162225,83858.3907575,4037.68,265.5736,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,-2.3617905249999995,11673.47465,0.219835,265.6808,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1447645.61,74997.239485,4033.400000000001,253.1099,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,18.478906525000003,11268.10275,71.14580000000001,352.357,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1348659.58025,79101.5933275,3534.91,243.2367,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,-0.7709859249999996,11857.040505,0.2040499999999999,293.3947,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1262219.42375,86980.509875,3533.71,303.668,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,-0.9417617749999994,12573.882575,0.192522,277.19800000000004,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1301678.421925,104852.183135,3948.650000000001,415.013,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,-1.547693949999999,14645.461625,0.201699,370.148,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1388594.91575,122767.04185,4039.42,524.294,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,-2.9126622999999987,15123.983625,0.210431,540.6949999999999,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1408620.341,138310.729575,4039.93,557.062,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,-2.700152499999999,17694.48995,0.218884,552.634,264
