MES,DMFP (kW),DMP (kW),CFP (kWh),CP (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP (R$0,15) TUSD","CP  (R$0,15) TUSD","CFP (R$0,37) TUE","CP  (R$0,59) TUE",R$TOTAL_MES
JAN,4614,1415,1325646,55390,0.0,0.0,386.0,785.0,151523.76,117926.1,10522.36,54298.45,0.0,0.0,198846.9,8308.5,490489.02,32680.1,1064595.19
FEV,5036,1723,1371963,64582,0.0,0.0,0.0,477.0,165382.24,143594.82,0.0,32994.09,0.0,0.0,205794.45,9687.3,507626.31,38103.38,1103182.59
MAR,5043,2046,1469109,79106,0.0,0.0,0.0,154.0,165612.12,170513.64,0.0,10652.18,0.0,0.0,220366.35,11865.9,543570.33,46672.54,1169253.06
ABR,3501,1331,1115789,59137,0.0,0.0,1499.0,869.0,114972.84,110925.54,40862.74,60108.73,0.0,0.0,167368.35,8870.55,412841.93,34890.83,950841.51
MAI,3465,1735,1163348,67183,0.0,0.0,1535.0,465.0,113790.6,144594.9,41844.1,32164.05,0.0,0.0,174502.2,10077.45,430438.76,39637.97,987050.03
JUN,4389,1875,1311557,79081,0.0,0.0,611.0,325.0,144134.76,156262.5,16655.86,22480.25,0.0,0.0,196733.55,11862.15,485276.09,46657.79,1080062.95
JUL,4621,2400,1307977,74308,0.0,200.0,379.0,0.0,151753.64,200016.0,10331.54,0.0,0.0,33336.0,196196.55,11146.2,483951.49,43841.72,1130573.14
AGO,3468,1602,1223237,70442,0.0,0.0,1532.0,598.0,113889.12,133510.68,41762.32,41363.66,0.0,0.0,183485.55,10566.3,452597.69,41560.78,1018736.1
SET,3105,1311,1140655,66393,0.0,0.0,1895.0,889.0,101968.2,109258.74,51657.7,61492.13,0.0,0.0,171098.25,9958.95,422042.35,39171.87,966648.19
OUT,3910,1528,1175644,68463,0.0,0.0,1090.0,672.0,128404.4,127343.52,29713.4,46482.24,0.0,0.0,176346.6,10269.45,434988.28,40393.17,993941.06
NOV,5029,2325,1263265,67951,0.0,125.0,0.0,0.0,165152.36,193765.5,0.0,0.0,0.0,20835.0,189489.75,10192.65,467408.05,40091.09,1086934.4
DEZ,5049,2152,1285842,63376,0.0,0.0,0.0,48.0,165809.16,179347.68,0.0,3320.16,0.0,0.0,192876.3,9506.4,475761.54,37391.84,1064013.08
TOTAIS,5049,2400,15154032,815412,,,,,,,,,,,,,,,12615831.3
