Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM18,Consumo_P_SIM18_kWh,Consumo_Q_SIM18_kVArh,DemandaMax_P_SIM18_kW,DemandaMax_Q_SIM18_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1440321.67175,159317.00255,4652.54,588.624,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,-1.856131649999999,16273.269425,0.2076489999999999,471.583,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1488187.4745,164802.23353,5036.09,605.544,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,-3.057750124999999,17459.737475,0.19957,520.4590000000001,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1604453.29525,165829.875125,5043.72,536.804,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,-2.9847770999999987,17727.1523,0.2386339999999999,448.278,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1229028.76325,107999.1255,4033.2199999999993,334.188,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,-1.4968696749999997,12071.911825,0.2057319999999999,366.015,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1285220.67775,97384.79345,4038.23,376.338,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,-2.6722854499999986,12068.6401,0.219774,271.9638,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1444425.2261,85117.0628875,4427.24,281.3194,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,-2.3617905249999995,11673.47465,0.219835,265.6808,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1443334.7015,75947.42141,4658.639999999999,271.9557,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,18.478906525000003,11268.10275,71.14580000000001,352.357,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1350084.795,80423.4164075,4039.06,287.3613,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,-0.7709859249999996,11857.040505,0.2040499999999999,293.3947,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1263853.197,88356.469475,4036.67,309.511,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,-0.9417617749999994,12573.882575,0.192522,277.19800000000004,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1300577.614125,106144.343195,4038.5,415.011,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,-1.547693949999999,14645.461625,0.201699,370.148,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1383824.68175,122988.987525,5027.24,499.67,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,-2.9126622999999987,15123.983625,0.210431,540.6949999999999,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1403921.0595,138648.8067,5009.79,536.117,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,-2.700152499999999,17694.48995,0.218884,552.634,264
