Hora_decimal,P_3f_S,Q_3f_S
0.0,5.333220000000001,2.527873
0.25,5.333220000000001,2.527873
0.5,4.16262,1.946753
0.75,4.85887,1.9581140000000001
1.0,5.39332,2.337602
1.25,5.92072,2.621036
1.5,6.16258,2.687013
1.75,5.21414,2.083393
2.0,5.15531,2.008761
2.25,5.4816899999999995,2.141256
2.5,5.32597,2.397573
2.75,5.3260000000000005,2.3412550000000003
3.0,4.88616,2.3105569999999997
3.25,4.97101,2.150642
3.5,5.03701,2.096835
3.75,4.967890000000001,2.1215960000000003
4.0,4.75207,2.260687
4.25,4.686170000000001,2.238846
4.5,5.277660000000001,2.716157
4.75,4.44638,2.2523169999999997
5.0,5.11502,2.311802
5.25,4.11233,1.7519
5.5,4.8067400000000005,1.852224
5.75,4.15005,1.8617620000000001
6.0,4.05611,1.89242
6.25,4.5147200000000005,1.9742730000000002
6.5,4.41443,1.9860600000000002
6.75,4.2251,1.913992
7.0,4.10775,1.915465
7.25,4.16219,1.923108
7.5,4.30397,2.029075
7.75,4.36184,1.980152
8.0,2.6197480000000004,1.8600510000000001
8.25,2.5963119999999997,1.9165739999999998
8.5,3.39276,2.287278
8.75,3.75021,2.35589
9.0,3.6803899999999996,2.0172090000000003
9.25,3.85364,2.013327
9.5,4.11773,2.041058
9.75,5.07869,2.539311
10.0,5.16364,2.4883129999999998
10.25,5.01238,2.484712
10.5,3.11155,1.946387
10.75,3.12772,1.9376060000000002
11.0,4.04357,2.0312200000000002
11.25,4.9483999999999995,2.626611
11.5,4.30523,2.134893
11.75,4.69028,2.118505
12.0,4.72499,2.121694
12.25,4.56032,2.05523
12.5,4.8198799999999995,2.275225
12.75,4.23329,2.0925469999999997
13.0,3.81623,2.036613
13.25,3.66451,2.205528
13.5,4.82042,2.366696
13.75,5.21452,2.382644
14.0,4.35527,1.880995
14.25,4.51751,1.8432499999999998
14.5,4.4356100000000005,1.8867070000000004
14.75,4.86546,2.101316
15.0,5.17748,2.128174
15.25,4.73138,1.86407
15.5,4.091340000000001,2.055796
15.75,4.428640000000001,2.390746
16.0,4.37264,2.16762
16.25,6.0081500000000005,2.906937
16.5,5.20496,2.243313
16.75,4.425739999999999,1.9215259999999998
17.0,4.70258,1.898809
17.25,4.37282,1.81298
17.5,4.67394,1.9544129999999997
17.75,5.42482,1.872006
18.0,4.95233,1.807165
18.25,4.54637,1.7755240000000003
18.5,4.95296,1.88035
18.75,5.01377,1.7543699999999998
19.0,5.05758,1.7409080000000001
19.25,5.15459,1.7876320000000003
19.5,5.47134,1.763429
19.75,4.93169,1.7744030000000002
20.0,6.07134,1.993021
20.25,5.78031,1.800166
20.5,5.35715,1.667531
20.75,5.70935,1.7793839999999999
21.0,5.12488,1.797891
21.25,5.73039,1.8180129999999999
21.5,5.97497,2.03694
21.75,5.07446,1.9589109999999998
22.0,6.0785,2.318062
22.25,5.46635,2.0703489999999998
22.5,5.1700099999999996,2.140162
22.75,5.17409,2.061524
23.0,4.88555,1.9371369999999999
23.25,4.74437,2.0013449999999997
23.5,5.34896,2.353584
23.75,5.64818,2.173575
24.0,4.62791,2.106164
24.25,4.819459999999999,2.361403
24.5,4.6049500000000005,2.401409
24.75,4.50605,2.302507
25.0,5.65604,2.487337
25.25,5.61074,2.497159
25.5,5.2862,2.182395
25.75,5.27969,2.186724
26.0,5.9453,2.53212
26.25,5.3461099999999995,2.0729740000000003
26.5,5.79827,2.5127059999999997
26.75,5.3249,1.9671180000000001
27.0,5.034599999999999,2.093266
27.25,4.853750000000001,2.016642
27.5,4.89977,1.8964600000000003
27.75,4.24296,1.9059590000000002
28.0,4.683199999999999,1.931295
28.25,5.08412,2.025436
28.5,4.65353,1.921122
28.75,4.67411,2.043717
29.0,4.29416,1.973236
29.25,4.34367,1.9268299999999998
29.5,5.587280000000001,2.270896
29.75,4.38533,2.04419
30.0,4.60358,2.19352
30.25,4.84309,2.217841
30.5,5.132,2.195791
30.75,5.52317,1.980098
31.0,8.71011,2.549605
31.25,11.75869,2.155961
31.5,10.844809999999999,2.673736
31.75,14.55353,2.474303
32.0,13.12517,2.177988
32.25,19.50885,2.761095
32.5,20.28875,3.52081
32.75,19.07208,3.48245
33.0,22.587,2.5159849999999997
33.25,22.62338,2.687242
33.5,19.97255,1.988588
33.75,31.2427,2.272445
34.0,25.254690000000004,2.329757
34.25,24.203580000000002,3.0320400000000003
34.5,20.227629999999998,2.972931
34.75,21.81894,2.232001
35.0,25.91925,3.6550700000000003
35.25,23.52749,2.745104
35.5,27.386969999999998,4.49542
35.75,27.92868,4.62446
36.0,27.03129,5.06722
36.25,27.20728,4.9607399999999995
36.5,22.08896,2.974207
36.75,20.962609999999998,2.658123
37.0,22.99774,3.08439
37.25,17.82958,2.9957000000000003
37.5,16.95514,2.651849
37.75,19.72625,3.30855
38.0,14.251990000000001,2.335816
38.25,13.44961,2.482826
38.5,14.358509999999999,1.8576160000000002
38.75,15.395790000000002,2.668828
39.0,13.9513,2.479936
39.25,12.90672,2.595694
39.5,10.963249999999999,2.3249969999999998
39.75,10.67104,1.957007
40.0,11.501539999999999,2.0449230000000003
40.25,10.880930000000001,2.319641
40.5,10.17345,2.004333
40.75,10.03255,2.543752
41.0,7.56048,1.927983
41.25,10.208070000000001,2.7521050000000002
41.5,7.43497,1.983545
41.75,6.528,1.924032
42.0,6.031219999999999,2.02942
42.25,5.85292,1.86295
42.5,5.97095,1.946936
42.75,6.387410000000001,2.027083
43.0,6.26723,1.984479
43.25,6.182600000000001,2.00578
43.5,6.1982099999999996,2.03479
43.75,5.6843900000000005,1.856541
44.0,6.55613,1.8465150000000001
44.25,6.1904900000000005,1.718194
44.5,6.61631,1.7604899999999999
44.75,6.21479,1.702482
45.0,7.090529999999999,1.780224
45.25,6.89331,2.036556
45.5,6.54082,2.336199
45.75,6.490060000000001,2.278115
46.0,5.59662,2.389114
46.25,6.9627099999999995,2.555728
46.5,6.00047,2.24037
46.75,5.14987,1.8817050000000002
47.0,6.24882,2.057153
47.25,6.30034,2.521849
47.5,6.02225,2.1725149999999998
47.75,6.532729999999999,2.4552
48.0,6.06898,2.350781
48.25,5.62262,2.067899
48.5,5.52801,1.999606
48.75,5.60336,2.123327
49.0,5.431,2.235481
49.25,6.67634,2.621259
49.5,6.85105,2.6903189999999997
49.75,5.32769,2.349236
50.0,6.6188,2.1323049999999997
50.25,6.401339999999999,2.640216
50.5,7.11299,2.799626
50.75,5.88467,2.500399
51.0,6.31151,2.050328
51.25,5.31182,1.9110619999999998
51.5,5.77349,1.9501330000000001
51.75,5.96174,1.847408
52.0,5.33279,1.949217
52.25,5.80367,2.213511
52.5,5.88392,2.4008570000000002
52.75,5.47559,2.0577819999999996
53.0,6.0982400000000005,2.2480320000000003
53.25,4.88762,2.020726
53.5,5.369870000000001,2.1572400000000003
53.75,5.08715,2.229895
54.0,5.7131799999999995,2.721412
54.25,5.67839,2.533596
54.5,5.30808,2.04708
54.75,6.46574,2.460518
55.0,9.25224,2.414367
55.25,11.71329,2.471593
55.5,11.73161,2.411107
55.75,15.026029999999999,2.958521
56.0,13.555810000000001,2.337613
56.25,15.8138,2.6314729999999997
56.5,19.68149,3.8335600000000003
56.75,17.839969999999997,2.7171879999999997
57.0,18.921039999999998,2.765462
57.25,18.21789,2.27415
57.5,19.9117,2.490136
57.75,20.83322,2.444909
58.0,19.64613,2.4315059999999997
58.25,22.761139999999997,3.46961
58.5,19.03254,4.17281
58.75,19.08139,3.13755
59.0,22.084319999999998,3.84636
59.25,25.17609,2.640672
59.5,22.711060000000003,4.014
59.75,23.797060000000002,4.293200000000001
60.0,22.442909999999998,4.12613
60.25,22.39187,3.1751899999999997
60.5,25.93051,3.9516
60.75,21.01829,4.06058
61.0,16.78605,1.8117860000000001
61.25,15.48536,3.15464
61.5,17.67018,3.6669799999999997
61.75,16.786070000000002,3.1315100000000005
62.0,18.118109999999998,2.0615870000000003
62.25,10.38798,2.032044
62.5,9.91949,1.849348
62.75,10.23286,2.221458
63.0,10.31526,2.183803
63.25,10.42662,2.328639
63.5,12.021809999999999,1.9810679999999998
63.75,11.49524,2.497002
64.0,9.64035,2.205437
64.25,10.85307,2.361386
64.5,10.241790000000002,2.4049760000000004
64.75,9.12309,2.435115
65.0,8.16771,2.05721
65.25,6.72062,2.099747
65.5,6.81669,2.0008090000000003
65.75,6.1905600000000005,1.963904
66.0,6.8884799999999995,1.9697580000000001
66.25,6.80865,1.9592269999999998
66.5,6.30119,1.8227229999999999
66.75,6.2437000000000005,1.787148
67.0,6.56701,1.8368029999999997
67.25,5.55717,1.952683
67.5,6.63314,1.943532
67.75,6.14265,2.211403
68.0,5.81492,1.8848099999999999
68.25,6.54556,2.0136890000000003
68.5,6.56105,2.1288799999999997
68.75,6.06959,1.904754
69.0,6.3052600000000005,1.933879
69.25,5.3467,1.847507
69.5,6.24504,1.952204
69.75,5.350529999999999,1.9156969999999998
70.0,5.192119999999999,1.9083769999999998
70.25,6.1495,2.065805
70.5,5.616639999999999,1.9497019999999998
70.75,4.834009999999999,1.9132159999999998
71.0,4.9475,2.031482
71.25,5.89499,2.144458
71.5,4.96652,2.116808
71.75,5.06783,2.105427
72.0,5.55818,2.203086
72.25,5.23826,2.070698
72.5,4.80914,1.9650489999999998
72.75,4.70837,2.2462
73.0,5.165380000000001,2.034408
73.25,5.34512,2.011806
73.5,4.847659999999999,2.020673
73.75,6.3893,2.617623
74.0,6.1356399999999995,2.666409
74.25,5.45681,2.377789
74.5,4.55705,2.041273
74.75,6.1281,2.698498
75.0,4.8036900000000005,2.474291
