Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM10,Consumo_P_SIM10_kWh,Consumo_Q_SIM10_kVArh,DemandaMax_P_SIM10_kW,DemandaMax_Q_SIM10_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1398559.848,139465.585225,4626.650000000001,559.855,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,7547.3116067500005,16158.74365,639.422,438.088,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1440819.0192500001,146872.413485,5319.88,576.923,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,18431.1024864,16749.567775,947.544,475.478,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1538454.314,144946.2696,5450.639999999999,507.717,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,32597.6748,16069.251325,1270.732,361.484,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1184968.86675,88418.13006,3513.82,305.196,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,13179.892373,11711.363125,555.37,338.583,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1236072.14675,77148.0783925,3521.32,347.478,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,18993.685102,11351.5525,958.952,263.9287,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1380177.1433,65206.502837500004,4401.8,246.4713,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,32948.49525905,9967.332875,1099.033,220.4171,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1386530.22,55902.00930965,4633.219999999999,242.8121,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,21919.9898752,10275.370125,1623.034,247.453,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1295365.453,60147.7066702,3827.26,254.951,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,22477.996646,10899.94778,826.1289999999999,289.0722,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1215688.64625,69009.2529525,3563.23,274.5843,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,15229.354574250001,12168.840975,535.133,260.3828,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1252985.943975,86210.002,3922.82,386.135,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,16268.81578925,14127.1498,752.384,349.081,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1329383.92875,102989.30878,5389.59,470.9630000000001,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,24429.56697575,13938.109925,1549.1820000000002,427.228,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1353891.25275,118425.813775,5298.51,507.586,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,18834.077248125,16684.155425,1375.764,456.325,264
