Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Q_SIM2_kVAr,N_pontos_SIM30,Consumo_P_SIM30_kWh,Consumo_Q_SIM30_kVArh,DemandaMax_P_SIM30_kW,DemandaMax_Q_SIM30_kVAr,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,111081.57335,4601.09,531.024,2712,1479396.61075,177133.5522,4055.900000000001,618.482,2712
JANEIRO,PONTA,264,106519.01625,8881.22425,2189.518,323.368,264,-1.2503344999999992,17395.06735,0.1636429999999999,477.631,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,121155.239031,5293.83,548.232,2448,1525289.796,181761.917175,4056.83,644.2529999999999,2448
FEVEREIRO,PONTA,240,111067.2575,9884.754675,2497.443,360.838,240,-0.9798970499999992,18236.10355,0.175636,523.166,240
MARCO,FORA_PONTA,2736,1398718.94925,117092.46215,5424.81,479.288,2736,1638283.8095,184669.13055,4055.09,583.0329999999999,2736
MARCO,PONTA,240,125599.891,9179.0273,2821.215,246.9417,240,-0.5489753749999996,18234.9356,0.26514,440.227,240
ABRIL,FORA_PONTA,2640,1046336.75975,61263.5519619,3488.3900000000003,276.1418,2640,1259222.4255000001,125171.21345,3564.76,363.11800000000005,2640
ABRIL,PONTA,240,105623.26225,4871.96111,2105.641,223.8575,240,-1.3839756249999993,12948.95455,0.176093,374.06,240
MAIO,FORA_PONTA,2724,1089969.021,48919.905416855,3452.44,318.556,2724,1312747.0435,114918.446525,3534.4,405.137,2724
MAIO,PONTA,252,115993.521,4187.1933913,2510.263,148.8718,252,-2.174984299999999,12889.66065,0.18865,285.837,252
JUNHO,FORA_PONTA,2640,1242724.09375,38102.155019485,4376.42,208.0672,2640,1470935.51865,102068.402602325,4050.82,293.6325,2640
JUNHO,PONTA,240,125569.913,3151.4850875,2650.217,106.1559,240,-2.104620999999999,12141.4795,0.203048,268.5831,240
JULHO,FORA_PONTA,2700,1229188.7010000001,27148.2271470175,4607.84,195.1465,2700,1477014.94,93451.8105,4055.57,280.9846,2700
JULHO,PONTA,276,127765.63075,2482.835064725,3175.17,134.29919999999998,276,-1.9752776999999992,12107.351975,0.283803,336.339,276
AGOSTO,FORA_PONTA,2724,1150062.316,31955.9060229875,3455.62,185.3492,2724,1377867.92625,97957.68575,3535.0,272.0798,2724
AGOSTO,PONTA,252,119110.506175,3766.06350575,2377.106,174.1023,252,-0.9007940250000002,12609.716275,0.227709,302.71400000000006,252
SETEMBRO,FORA_PONTA,2616,1065787.183,41289.61118589175,3092.4700000000003,245.4364,2616,1288633.22325,104932.97315,3533.68,332.68600000000004,2616
SETEMBRO,PONTA,264,117526.443,4590.8948225,2085.462,145.6909,264,-1.6180430749999994,13514.2603,0.197014,285.7989,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,57517.6741775,3897.04,357.192,2700,1329161.77965,123342.068028925,3974.51,443.827,2700
OUTUBRO,PONTA,276,121921.60075,6324.1117525,2302.502,234.2899,276,-1.1343265249999992,15639.4657,0.173417,379.94,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,76081.170921425,5363.5,442.332,2652,1418366.18875,140965.88835,4048.91,545.8729999999999,2652
NOVEMBRO,PONTA,228,112115.74475,7458.345525,3100.21,313.14500000000004,228,-0.9039335249999993,15724.584475,0.2668279999999999,523.675,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,90455.0494375,5272.67,478.684,2712,1438403.786,156878.419625,4055.24,577.588,2712
DEZEMBRO,PONTA,264,114506.35875,9707.184525,2926.615,342.048,264,-0.758754149999999,18630.76665,0.240088,540.637,264
