segmento_idx,posto,hora_ini,n_steps,soc_inicial_m1_pct,soc_final_m1_pct,soc_inicial_m2_pct,soc_final_m2_pct,soc_inicial_m3_pct,soc_final_m3_pct,monitor_bessm1_csv,monitor_bessm2_csv,monitor_bessm3_csv
0,FORA_PONTA,0.0,167,50.0,100.0,50.0,100.0,50.0,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00000_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00000_FORA_PONTA.csv
1,PONTA,41.75,12,100.0,62.9712,100.0,62.9712,100.0,33.9775,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00001_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00001_PONTA.csv
2,FORA_PONTA,44.75,84,62.9712,100.0,62.9712,100.0,33.9775,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00002_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00002_FORA_PONTA.csv
3,PONTA,65.75,12,100.0,66.1392,100.0,66.1392,100.0,39.6339,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00003_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00003_PONTA.csv
4,FORA_PONTA,68.75,276,66.1392,100.0,66.1392,100.0,39.6339,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00004_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00004_FORA_PONTA.csv
5,PONTA,137.75,12,100.0,62.0133,100.0,62.0133,100.0,32.2667,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00005_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00005_PONTA.csv
6,FORA_PONTA,140.75,84,62.0133,100.0,62.0133,100.0,32.2667,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00006_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00006_FORA_PONTA.csv
7,PONTA,161.75,12,100.0,61.4065,100.0,61.4065,100.0,31.1829,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00007_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00007_PONTA.csv
8,FORA_PONTA,164.75,84,61.4065,100.0,61.4065,100.0,31.1829,100.0,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00008_FORA_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00008_FORA_PONTA.csv
9,PONTA,185.75,12,100.0,60.6249,100.0,60.6249,100.0,29.7872,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM1_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM2_IN_s00009_PONTA.csv,C:\Users\afole\OneDrive\Dissertacao2025\Simulacao 022 segmentos_pass1_sem_hvac_int_ano_2031_2047\UFSM_Mon_BESSM3_IN_s00009_PONTA.csv
